district,year,population,violent_cases,property_cases,women_safety_cases,accident_cases,unemployment_rate,traffic_density_index,economic_activity_index,police_units_per_100k,forensic_capacity_ratio,forensic_staff_shortage_index,case_processing_delay_index,data_transparency_flag,shock_year_flag
Shahdara,2010,2987000,188,637,140,395,10.87,0.52,1.25,1.57,0.59,0.64,0.47,1,0
New Delhi,2010,206000,14,45,10,26,0.7,0.09,0.1,1.46,0.66,0.67,0.37,1,0
Central Delhi,2011,627000,46,129,34,91,1.2,0.29,0.21,1.75,0.65,0.71,0.39,0,0
North Delhi,2011,940499,70,180,47,142,3.65,0.34,0.35,1.59,0.64,0.52,0.43,1,0
South Delhi,2011,2926000,215,646,140,407,5.27,1.02,0.93,1.78,0.66,0.44,0.35,1,0
East Delhi,2011,1776499,126,341,85,257,3.26,0.78,0.69,1.52,0.58,0.75,0.46,0,0
West Delhi,2011,2089999,154,475,119,305,5.32,0.41,0.85,1.67,0.68,0.72,0.33,0,0
North East Delhi,2011,2926000,183,607,139,376,5.68,1.12,1.17,1.67,0.84,0.53,0.19,1,0
North West Delhi,2011,2403500,158,548,113,366,4.25,1.11,0.82,1.83,0.57,0.59,0.53,0,0
South East Delhi,2011,2089999,149,453,108,298,6.33,0.98,0.44,1.58,0.84,0.71,0.21,0,0
South West Delhi,2011,2299000,153,450,119,310,6.96,0.44,1.06,1.83,0.76,0.59,0.27,1,0
Shahdara,2011,3030500,218,590,171,449,11.77,1.24,1.1,1.62,0.83,0.7,0.17,0,0
New Delhi,2011,209000,14,46,11,27,0.64,0.06,0.1,1.44,0.8,0.56,0.24,0,0
Central Delhi,2012,636000,40,144,35,98,2.54,0.22,0.26,1.73,0.8,0.49,0.25,0,0
North Delhi,2012,954000,73,206,47,139,2.97,0.27,0.22,1.68,0.71,0.67,0.34,1,0
South Delhi,2012,2968000,211,636,169,411,5.87,0.52,1.19,1.68,0.76,0.47,0.25,0,0
East Delhi,2012,1802000,123,388,93,251,6.81,0.51,0.61,1.72,0.67,0.62,0.42,1,0
West Delhi,2012,2120000,139,487,112,285,5.8,1.05,0.7,1.6,0.74,0.48,0.27,0,0
North East Delhi,2012,2968000,194,585,145,431,6.21,0.84,1.3,1.65,0.75,0.46,0.27,0,0
North West Delhi,2012,2438000,160,493,120,316,4.75,0.78,0.62,1.6,0.7,0.64,0.3,1,0
South East Delhi,2012,2120000,153,411,120,324,3.84,0.55,0.88,1.75,0.61,0.47,0.43,0,0
South West Delhi,2012,2332000,168,481,122,345,4.09,0.58,0.91,1.76,0.7,0.59,0.31,0,0
Shahdara,2012,3074000,218,618,155,423,5.27,0.84,0.79,1.59,0.59,0.71,0.47,0,0
New Delhi,2012,212000,15,44,10,30,0.64,0.09,0.07,1.42,0.64,0.53,0.42,0,0
Central Delhi,2013,645000,44,152,35,87,1.23,0.14,0.17,1.55,0.61,0.5,0.41,1,0
North Delhi,2013,967500,63,209,51,152,1.87,0.29,0.44,1.76,0.8,0.49,0.22,0,0
South Delhi,2013,3010000,234,654,164,412,10.42,0.69,0.86,1.63,0.7,0.48,0.31,0,0
East Delhi,2013,1827500,125,399,91,260,5.32,0.34,0.53,1.53,0.57,0.75,0.46,1,0
West Delhi,2013,2150000,146,479,121,314,5.95,0.65,0.63,1.77,0.8,0.74,0.21,1,0
North East Delhi,2013,3010000,234,605,147,452,9.05,1.35,0.71,1.76,0.61,0.46,0.41,1,0
North West Delhi,2013,2472500,183,534,129,381,6.38,1.09,0.78,1.62,0.69,0.51,0.38,0,0
South East Delhi,2013,2150000,145,499,112,310,8.13,0.81,0.5,1.77,0.74,0.52,0.27,1,0
South West Delhi,2013,2365000,173,511,137,358,4.78,0.64,0.63,1.73,0.56,0.6,0.52,1,0
Shahdara,2013,3117500,216,713,154,477,6.12,0.93,1.29,1.54,0.62,0.65,0.45,0,0
New Delhi,2013,215000,16,46,10,29,0.45,0.1,0.08,1.4,0.69,0.73,0.33,0,0
Central Delhi,2014,654000,47,145,32,102,2.51,0.23,0.25,1.68,0.76,0.45,0.3,0,0
North Delhi,2014,981000,70,223,58,154,2.67,0.2,0.45,1.73,0.59,0.72,0.5,0,0
South Delhi,2014,3052000,225,651,151,428,10.8,0.51,0.88,1.61,0.71,0.72,0.32,0,0
East Delhi,2014,1853000,141,400,95,266,3.7,0.42,0.62,1.62,0.82,0.53,0.24,0,0
West Delhi,2014,2180000,142,490,111,346,4.39,0.66,0.49,1.79,0.7,0.61,0.31,1,0
North East Delhi,2014,3052000,208,718,156,416,5.35,0.99,1.07,1.51,0.78,0.56,0.27,0,0
North West Delhi,2014,2507000,178,553,127,341,9.22,1.21,0.75,1.56,0.74,0.54,0.26,0,0
South East Delhi,2014,2180000,165,490,107,299,4.81,0.85,0.45,1.51,0.79,0.46,0.28,0,0
South West Delhi,2014,2398000,160,495,136,373,8.64,0.72,0.91,1.54,0.64,0.71,0.36,0,0
Shahdara,2014,3161000,216,623,161,467,8.38,1.47,1.32,1.61,0.63,0.53,0.43,0,0
New Delhi,2014,218000,16,46,12,31,0.51,0.11,0.09,1.38,0.81,0.57,0.28,1,0
Central Delhi,2015,663000,48,132,34,98,2.08,0.17,0.16,1.66,0.85,0.58,0.17,0,0
North Delhi,2015,994500,66,237,50,148,2.29,0.35,0.37,1.71,0.61,0.4,0.4,1,0
South Delhi,2015,3094000,244,697,174,470,6.42,1.46,0.96,1.62,0.71,0.42,0.31,1,0
East Delhi,2015,1878500,126,423,98,270,4.4,0.54,0.74,1.6,0.72,0.57,0.35,1,0
West Delhi,2015,2210000,170,460,110,310,6.75,0.41,0.73,1.67,0.65,0.67,0.36,0,0
North East Delhi,2015,3094000,238,683,177,449,6.94,1.36,1.28,1.71,0.63,0.61,0.41,0,0
North West Delhi,2015,2541500,202,520,153,370,5.33,0.88,1.1,1.73,0.79,0.63,0.28,1,0
South East Delhi,2015,2210000,154,487,115,357,8.55,0.4,0.86,1.76,0.6,0.6,0.49,0,0
South West Delhi,2015,2431000,186,515,145,391,9.41,0.79,1.05,1.77,0.65,0.69,0.35,0,0
Shahdara,2015,3204500,223,654,162,490,7.88,1.31,0.7,1.59,0.71,0.68,0.32,0,0
New Delhi,2015,221000,17,49,11,29,0.82,0.04,0.1,1.36,0.83,0.68,0.27,0,0
Central Delhi,2016,672000,52,147,37,102,2.49,0.33,0.27,1.64,0.68,0.66,0.34,0,0
North Delhi,2016,1008000,73,216,54,142,1.78,0.17,0.47,1.59,0.67,0.64,0.35,1,0
South Delhi,2016,3136000,247,644,172,503,12.14,1.01,1.14,1.53,0.85,0.48,0.24,0,0
East Delhi,2016,1904000,145,427,100,265,4.15,0.44,0.78,1.58,0.57,0.74,0.52,1,0
West Delhi,2016,2240000,183,469,122,351,7.37,0.49,0.94,1.56,0.62,0.59,0.44,0,0
North East Delhi,2016,3136000,215,755,167,433,11.73,1.52,1.35,1.75,0.75,0.59,0.26,0,0
North West Delhi,2016,2576000,187,549,150,384,4.78,0.62,0.98,1.51,0.81,0.57,0.24,0,0
South East Delhi,2016,2240000,178,486,129,338,5.13,1.03,0.92,1.7,0.81,0.7,0.26,1,0
South West Delhi,2016,2464000,191,571,141,386,5.02,1.13,1.07,1.5,0.8,0.45,0.23,1,0
Shahdara,2016,3248000,226,773,193,485,5.46,0.85,1.18,1.82,0.74,0.49,0.32,0,0
New Delhi,2016,224000,17,46,13,33,0.88,0.06,0.08,1.79,0.58,0.73,0.49,0,0
Central Delhi,2017,681000,49,161,35,104,1.68,0.25,0.14,1.76,0.84,0.74,0.23,0,0
North Delhi,2017,1021500,81,209,52,149,2.87,0.43,0.39,1.57,0.63,0.75,0.41,0,0
South Delhi,2017,3178000,224,763,187,454,5.91,1.25,1.19,1.57,0.84,0.45,0.2,1,0
East Delhi,2017,1929500,143,450,107,278,7.65,0.58,0.85,1.55,0.61,0.41,0.46,0,0
West Delhi,2017,2270000,184,512,140,321,8.38,0.97,0.92,1.76,0.78,0.62,0.23,0,0
North East Delhi,2017,3178000,260,738,191,479,6.17,0.66,1.22,1.64,0.61,0.57,0.4,0,0
North West Delhi,2017,2610500,188,627,142,391,4.42,0.5,0.8,1.65,0.73,0.5,0.34,1,0
South East Delhi,2017,2270000,181,467,128,316,5.07,1.12,0.54,1.63,0.74,0.65,0.32,0,0
South West Delhi,2017,2497000,182,568,130,366,4.36,0.48,0.76,1.52,0.72,0.64,0.36,0,0
Shahdara,2017,3291500,232,688,191,518,5.73,1.58,0.7,1.67,0.76,0.7,0.31,1,0
New Delhi,2017,227000,16,54,11,37,0.67,0.1,0.07,1.32,0.71,0.66,0.3,0,0
Central Delhi,2018,690000,50,147,42,99,2.72,0.19,0.17,1.74,0.75,0.57,0.31,1,0
North Delhi,2018,1034999,75,261,65,163,2.21,0.41,0.23,1.45,0.63,0.56,0.46,1,0
South Delhi,2018,3219999,258,729,179,480,12.79,0.58,1.39,1.68,0.68,0.65,0.37,1,0
East Delhi,2018,1954999,161,442,107,305,7.42,0.46,0.72,1.69,0.77,0.45,0.3,1,0
West Delhi,2018,2300000,165,501,144,330,8.42,0.76,0.61,1.78,0.68,0.58,0.36,0,0
North East Delhi,2018,3219999,230,724,202,469,10.3,0.89,1.31,1.52,0.84,0.56,0.18,0,0
North West Delhi,2018,2645000,189,610,147,432,7.07,0.66,0.96,1.7,0.6,0.46,0.4,1,0
South East Delhi,2018,2300000,182,526,141,374,6.97,1.05,0.59,1.52,0.63,0.42,0.42,1,0
South West Delhi,2018,2530000,176,537,144,421,6.08,0.85,0.53,1.54,0.85,0.74,0.15,1,0
Shahdara,2018,3334999,262,823,190,512,9.36,1.3,0.79,1.5,0.64,0.65,0.38,0,0
New Delhi,2018,229999,19,48,13,34,0.85,0.05,0.09,1.74,0.83,0.64,0.22,0,0
Central Delhi,2019,699000,58,165,36,117,2.29,0.27,0.18,1.72,0.67,0.63,0.34,0,0
North Delhi,2019,1048500,89,222,66,159,3.88,0.45,0.37,1.72,0.81,0.54,0.22,0,0
South Delhi,2019,3262000,268,799,201,500,11.66,0.67,1.13,1.47,0.65,0.53,0.39,0,0
East Delhi,2019,1980500,150,456,109,299,4.35,0.38,0.71,1.72,0.74,0.56,0.3,1,0
West Delhi,2019,2330000,181,540,122,350,5.95,0.7,0.83,1.67,0.73,0.67,0.35,1,0
North East Delhi,2019,3262000,276,686,178,456,10.36,1.52,0.86,1.81,0.57,0.73,0.47,0,0
North West Delhi,2019,2679500,207,593,149,400,9.49,0.93,0.76,1.68,0.76,0.5,0.28,0,0
South East Delhi,2019,2330000,169,562,127,363,7.74,0.47,0.82,1.55,0.84,0.57,0.24,0,0
South West Delhi,2019,2563000,180,613,162,406,9.17,1.18,0.67,1.56,0.73,0.54,0.35,1,0
Shahdara,2019,3378500,254,745,207,501,12.12,1.04,1.28,1.51,0.74,0.56,0.32,0,0
New Delhi,2019,233000,18,58,12,33,0.4,0.09,0.08,1.29,0.62,0.54,0.44,0,0
Central Delhi,2020,708000,48,123,34,87,1.89,0.29,0.27,1.69,0.59,0.44,0.48,0,1
North Delhi,2020,1062000,63,183,45,144,2.25,0.29,0.28,1.6,0.57,0.58,0.44,1,1
South Delhi,2020,3304000,196,628,167,428,9.62,0.91,0.95,1.69,0.85,0.63,0.21,1,1
East Delhi,2020,2006000,125,345,95,275,4.16,0.8,0.51,1.65,0.58,0.56,0.5,0,1
West Delhi,2020,2360000,153,471,120,281,6.13,0.51,1.1,1.78,0.71,0.69,0.34,0,1
North East Delhi,2020,3304000,190,655,144,442,11.54,1.33,0.69,1.57,0.63,0.53,0.38,1,1
North West Delhi,2020,2714000,172,492,125,337,8.33,0.92,1.21,1.66,0.85,0.7,0.17,1,1
South East Delhi,2020,2360000,137,473,108,319,8.71,1.03,0.97,1.57,0.57,0.54,0.45,0,1
South West Delhi,2020,2596000,158,536,125,347,5.13,1.18,1.16,1.66,0.73,0.67,0.29,0,1
Shahdara,2020,3422000,210,600,157,393,5.91,0.72,1.56,1.67,0.84,0.55,0.19,0,1
New Delhi,2020,236000,14,41,11,28,0.73,0.09,0.06,1.27,0.78,0.56,0.23,1,1
Central Delhi,2021,717000,52,178,46,108,1.43,0.15,0.2,1.39,0.76,0.42,0.29,1,0
North Delhi,2021,1075500,91,262,61,175,3.12,0.33,0.25,1.77,0.68,0.47,0.36,0,0
South Delhi,2021,3346000,284,837,210,480,8.83,1.09,0.69,1.58,0.78,0.45,0.27,0,0
East Delhi,2021,2031500,146,460,132,343,7.93,0.67,0.47,1.67,0.69,0.7,0.32,0,0
West Delhi,2021,2390000,177,551,149,378,6.08,0.71,0.77,1.76,0.82,0.73,0.26,0,0
North East Delhi,2021,3346000,276,789,190,569,5.88,1.56,1.08,1.7,0.75,0.71,0.31,0,0
North West Delhi,2021,2748500,199,659,152,458,7.87,1.08,0.58,1.53,0.76,0.43,0.25,0,0
South East Delhi,2021,2390000,207,598,138,365,5.93,1.02,0.9,1.55,0.6,0.43,0.47,1,0
South West Delhi,2021,2629000,199,568,143,458,6.19,1.11,0.96,1.6,0.61,0.44,0.45,1,0
Shahdara,2021,3465500,284,833,188,603,12.23,0.92,1.6,1.67,0.72,0.66,0.36,0,0
New Delhi,2021,239000,17,55,15,35,0.61,0.07,0.08,1.67,0.83,0.48,0.18,0,0
Central Delhi,2022,726000,63,180,42,124,2.67,0.33,0.32,1.52,0.78,0.56,0.3,1,0
North Delhi,2022,1089000,92,271,61,177,4.32,0.52,0.23,1.47,0.59,0.65,0.49,0,0
South Delhi,2022,3388000,273,875,214,551,10.31,1.14,0.95,1.68,0.76,0.71,0.3,1,0
East Delhi,2022,2057000,154,493,112,315,6.92,1.02,0.47,1.6,0.79,0.47,0.27,1,0
West Delhi,2022,2420000,199,549,142,412,7.16,0.41,0.98,1.49,0.77,0.47,0.33,0,0
North East Delhi,2022,3388000,263,762,197,587,13.52,0.98,1.08,1.71,0.82,0.61,0.22,0,0
North West Delhi,2022,2783000,233,606,172,436,9.8,0.55,0.99,1.65,0.74,0.42,0.32,0,0
South East Delhi,2022,2420000,197,597,151,414,5.56,1.07,0.81,1.49,0.57,0.52,0.51,1,0
South West Delhi,2022,2662000,227,646,159,399,6.48,0.83,0.6,1.54,0.73,0.66,0.37,1,0
Shahdara,2022,3509000,291,835,218,598,6.82,1.06,1.49,1.62,0.72,0.61,0.3,0,0
New Delhi,2022,242000,18,53,13,41,0.56,0.08,0.07,1.65,0.63,0.55,0.46,1,0
Central Delhi,2023,735000,56,190,44,119,1.45,0.14,0.29,1.63,0.68,0.66,0.4,0,0
North Delhi,2023,1102500,92,250,70,185,4.3,0.21,0.24,1.54,0.63,0.49,0.46,0,0
South Delhi,2023,3430000,267,883,207,591,6.24,1.13,0.72,1.52,0.82,0.45,0.23,0,0
East Delhi,2023,2082500,164,551,115,351,8.15,0.74,0.94,1.49,0.68,0.49,0.39,1,0
West Delhi,2023,2450000,190,618,141,405,6.74,1.2,0.89,1.59,0.58,0.45,0.44,0,0
North East Delhi,2023,3430000,299,850,211,517,12.6,1.4,0.75,1.72,0.71,0.43,0.34,0,0
North West Delhi,2023,2817500,214,751,184,475,7.74,0.86,1.05,1.67,0.57,0.58,0.51,0,0
South East Delhi,2023,2450000,182,634,141,380,5.02,0.68,0.98,1.63,0.61,0.71,0.48,1,0
South West Delhi,2023,2695000,208,653,181,464,4.66,0.51,0.87,1.78,0.71,0.57,0.3,0,0
Shahdara,2023,3552500,308,849,229,634,7.61,1.21,0.98,1.75,0.72,0.62,0.36,0,0
New Delhi,2023,245000,21,60,13,41,0.86,0.07,0.11,1.63,0.63,0.74,0.38,0,0
